dataset,embodiment,text
bridge,widowx,put eggplant on plate
bridge,widowx,put the metal lid on top of the cooking pot
bridge,widowx,move the green cloth to the left burner below the silver pot
bridge,widowx,Place the chicken leg inside the pot.
bridge,widowx,Put the chicken in between the eyes of the stove.
bridge,widowx,put the orange and white object on the left side corner of the table
bridge,widowx,put the blue figure on the top edge of the cloth
bridge,widowx,close the drawer
bridge,widowx,Move blue cloth to the right of spoon.
bridge,widowx,unfold the cloth from center to bottom right
bridge,widowx,remove the cylinder off of the arch and put it in the bottom middle of the table
bridge,widowx,open low fridge
bridge,widowx,turn lever vertical to front
bridge,widowx,Move the can to the upper left of the table
bridge,widowx,Move pot to left of spoon.
bridge,widowx,pick up blue spoon and place on right side of towel
bridge,widowx,put the red cube on top of the tower
bridge,widowx,put the rectangle block on top of the cube with a hole
bridge,widowx,put the green rectangle on top of the yellow rectangle.
bridge,widowx,Place the sushi behind the yellow towel
bridge,widowx,Move the pot onto the towel.
bridge,widowx,Pick up the sandwich slice from purple cloth and place it on table surface
bridge,widowx,move spoon to just below canned foods
bridge,widowx,PLACE THE BLUE CLOTH AT THE CENTER OF THE TABLE
bridge,widowx,Move pan towards right front corner of counter handle barely hanging over
bridge,widowx,fold clothes from top left to bottom right
bridge,widowx,unfold the cloth from top left to top left
bridge,widowx,put pot or pan on stove
bridge,widowx,move the pan with the brush and spatula inside to the lower right oven
bridge,widowx,move the cloth from top right to bottom left
bridge,widowx,upright hot sauce bottle cardboard fence
bridge,widowx,flip pot upright in sink
bridge,widowx,Place the yellow brush on the purple cloth.
bridge,widowx,put sweet potato in pan which is on stove
bridge,widowx,Move the can to the back right corner of the table
bridge,widowx,put the cube with a hole on top of the block
bridge,widowx,take the sushi out of the drawer and place it on the bottom center of the table
bridge,widowx,Move the metal pot to the back of the stove.
bridge,widowx,fold the cloth from top right to bottom left
bridge,widowx,move the can to upper side of the table.
bridge,widowx,Take the carrot and place it inside the stainless steel pot
bridge,widowx,put pear on plate
bridge,widowx,move towel to left of pot below pot
bridge,widowx,Put the vegetable in front of the oven.
bridge,widowx,move the red triangle to the left
bridge,widowx,move the purple cloth to the right side of the burner
bridge,widowx,Pick up the pot and place it on top of the cloth
bridge,widowx,take out the pineapple toy in the open drawer and put it in the corner of the table
bridge,widowx,fold cloth from the bottom left to the top right
bridge,widowx,put the block on top of two cube
bridge,widowx,Pick up the apple and place it behind the orange cloth
bridge,widowx,Place the red spoon to the right of the yellow towel
bridge,widowx,picking up the green object out of the bowl and moving to the south east of the table
bridge,widowx,put pan from drying rack into sink
bridge,widowx,Moved the silver pot to the right top burner
bridge,widowx,twist knob start vertical clockwise90
bridge,widowx,pick up violet Allen key
bridge,widowx,put the silver lid on the silver pot
bridge,widowx,unfold the cloth from left to right
bridge,widowx,pick up green mug
bridge,widowx,Place the torch on the green cloth
bridge,widowx,flip pot upright which is in sink
bridge,widowx,take cucumber out of cup
bridge,widowx,move the blue cloth to the left top of the table
bridge,widowx,moved the blue spoon on top of between two burners
bridge,widowx,moved the yellow brush at the middle of right two burner
bridge,widowx,move the pan to the left side of the stove
bridge,widowx,Pick up the blue fork and place it on the left of the pot
bridge,widowx,moved the green object and put it on the table
bridge,widowx,take out the object from the silver pot and put it on the orange cloth
bridge,widowx,Move the bowl closer to the bottom right of the table.
bridge,widowx,Put the potato into the bowl.
bridge,widowx,open white1fbox flap
bridge,widowx,move the brown pot to the bottom right corner of the stove
bridge,widowx,Slide the green rag in front of the sushi.
bridge,widowx,put red bottle in sink
bridge,widowx,Unfold the cloth from top right to bottom left
bridge,widowx,move the cloth to the top left of the table
bridge,widowx,move the cloth from bottom to top of the table
bridge,widowx,Move the blue spoon to the left burner
bridge,widowx,put the cube on top of the cylinder
bridge,widowx,put chocolate into bowl
bridge,widowx,fold the cloth from top to bottom
bridge,widowx,pick up box cutter and put into drawer
bridge,widowx,Moved the blue fork from the front burner on the right side to the middle of the cooker.
bridge,widowx,move silver mixing bowl to top left of the table
bridge,widowx,move the violet blanket to right side
bridge,widowx,put the blue towel into the basket
bridge,widowx,put carrot on plate
bridge,widowx,metio el objeto amarrillo en las canasta de plata
bridge,widowx,take cup off plate
bridge,widowx,grab the red object from the silver pot and put it on the left side burner
bridge,widowx,move the white item in pot to towel
bridge,widowx,move tin to the right side of the stove
bridge,widowx,Put the carrot on the green cloth
bridge,widowx,take sushi out of pan
bridge,widowx,take the silver pot and placed it besides white cloth
bridge,widowx,unfold the cloth from top left to bottom right
bridge,widowx,Move the broccoli to the left side of the bowl
bridge,widowx,Take the spoon to the right side of the burner
bridge,widowx,Move the green cloth behind the pot with the peeler
bridge,widowx,put cap on container
bridge,widowx,unfold the cloth from left to righ
bridge,widowx,put detergent from sink into drying rack
bridge,widowx,put the ball in the cup
bridge,widowx,picked the white object from the drawer and put it on the table
bridge,widowx,close fridge
bridge,widowx,Moves the object from the bottom of the table into the pot.
bridge,widowx,Slide the blue spoon back towards the microwave.
bridge,widowx,put corn in bowl sink
bridge,widowx,Move the cloth so its to the right of the spoon
bridge,widowx,pick up pan from stove
bridge,widowx,move the red pot to the right burner
bridge,widowx,move the silver pot to the lower left burner
bridge,widowx,fold the cloth left to rigth
bridge,widowx,Put the yellow knife in the back
bridge,widowx,open book
bridge,widowx,move the broccoli below the left burner
bridge,widowx,Move the pot to the back right side of the table
bridge,widowx,put the casserole to the bottom of the right burner
bridge,widowx,Move green object to back right corner behind black towel.
bridge,widowx,put the silver pot to the lower right of the burner
bridge,widowx,put banana in colander
bridge,widowx,take the forceps and put it in the right of burners
bridge,widowx,move the white can to the right side of the silver pot
bridge,widowx,Move the cloth to the top of the table.
bridge,widowx,put broccoli in pot or pan
bridge,widowx,take the red object out of the pot and put it on the left burner
bridge,widowx,put fork from basket to tray
bridge,widowx,Pickup the cotton toy from left of table and place it middle of table
bridge,widowx,Place the spoon on the left of the pan.
bridge,widowx,put the yellow towel into the washer
bridge,widowx,put carrot on cutting board
bridge,widowx,move drying rack out of sink
bridge,widowx,put the sushi in the silver pot
bridge,widowx,take lid off pot or pan
bridge,widowx,Slide the green cloth to the left
bridge,widowx,open fridge
bridge,widowx,put the orange cloth on the left stove
bridge,widowx,move the red block to the left side of the table
bridge,widowx,Move the yellow cloth to the corner near the vessel
bridge,widowx,end effector reaching stuffedhippo
bridge,widowx,move the white object to the right side of the table
bridge,widowx,Move the orange cloth below and to the left of the silver pot.
bridge,widowx,take spatula off plate sink
bridge,widowx,move blue spoon near to vessel
bridge,widowx,put the brown pot on the top left of the table
bridge,widowx,remove the shape from the ring to the top of the yellow rectangular
bridge,widowx,Move the blue cloth to the near left edge of the table
bridge,widowx,unfold cloth from the bottom left to the top right
bridge,widowx,put cup from counter or drying rack into sink
bridge,widowx,take the object in the drawer and put it on top of it
bridge,widowx,unfold the cloth from centre to bottom right
bridge,widowx,Move the fork towards left side of counter.
bridge,widowx,put potato on plate
bridge,widowx,covers the silver pot with the silver lid
bridge,widowx,put the arch to the side of red cheese
bridge,widowx,move green rectangle on right of the table
bridge,widowx,remove the green block from top of the blue block and put it on top of yellow rectangular block
bridge,widowx,Pick up the red pepper from the pot and place it behind the purple cloth
bridge,widowx,Move the pot to below the cloth.
bridge,widowx,unfold the cloth from right to left side
bridge,widowx,mamelatra lamba
bridge,widowx,put big spoon from basket to tray
bridge,widowx,moved the lid from the middle to the top left corner of the table
bridge,widowx,move the joint
bridge,widowx,move the cloth from left to right
bridge,widowx,lever vertical to front
bridge,widowx,open the drawer and move the drawer to right side of the table
bridge,widowx,Move the blue spoon in front of the pot with cheese
bridge,widowx,put spatula on plate sink
bridge,widowx,move the blue spoon from the top of the purple cloth to the bottom part of the stove
bridge,widowx,PICK UP THE VESSEL AND PUT ANOTHER SIDE OF THE TABLE
bridge,widowx,Place the eggplant on top of the yellow cloth.
bridge,widowx,move the green object to the far left end of the table
bridge,widowx,take spoon out of bowl sink
bridge,widowx,zip zipper bag
bridge,widowx,fold cloth from left to right
bridge,widowx,fold the cloth from left to right
bridge,widowx,Take the strawberry out of the pot and place it to  the right of the cloth.
bridge,widowx,put the orange tea towel on the right side of the table
bridge,widowx,take the apple out of the sink and put it in the yellow basket
bridge,widowx,put corn into bowl
bridge,widowx,Place pot on top of orange towel
bridge,widowx,fold the cloth from bottom to top
bridge,widowx,put the red arch onto the top of the blue arch.
bridge,widowx,moving a red fruit into the pot
bridge,widowx,Moved the pot to the upper right corner of the burner
bridge,widowx,moved the an object to the left side of the burner
bridge,widowx,moved the orange thing beside the silver pot
bridge,widowx,Place the vessel behind the laddle.
bridge,widowx,take the white object out of the drawer
bridge,widowx,unfold the fabric from the bottom right to the top left
bridge,widowx,Move the metal pot to in front of the egg.
bridge,widowx,put the knife in the lower right side of the table
bridge,widowx,Grab the food from the pot and replace it near the blue cloth.
bridge,widowx,Moves the blue object to the top of the burner
bridge,widowx,unfold the cloth from top right to bottom left
bridge,widowx,put the monkey toy on the right side of the drawer
bridge,widowx,Move the bowl to the bottom right corner of the table.
bridge,widowx,moved the knife  from inside the yellow container
bridge,widowx,Move the blue cloth bottom right side corner of the table
bridge,widowx,put the blue brush on the lower right side of stove
bridge,widowx,take the silver pot and put it to the lower left burner
bridge,widowx,take the green object in the drawer and place it on the left side of the table
bridge,widowx,put spoon onto towl
bridge,widowx,move the can to the bottom side of the table
bridge,widowx,moved the yellow knife to the bottom end center
bridge,widowx,unfold the cloth from right to the bottom left
bridge,widowx,pick vessel and place it on the blue cloth
bridge,widowx,Move the food item to the lower left side of the table
bridge,widowx,put lid on pot or pan
bridge,widowx,Move the orange cloth and place it at the right edge of the table.
bridge,widowx,ut the blue figure on the top edge of the cloth
bridge,widowx,moved the silver pot to the upper right corner of the stove
bridge,widowx,move short can from left upper side to near silver pot
bridge,widowx,put the cheese bar  in the drawer
bridge,widowx,moved the red bottle to the left lower burner side
bridge,widowx,rotated the white cube with a hole 45 degrees
bridge,widowx,opened the drawer
bridge,widowx,move the orange object from the right to the middle of the table
bridge,widowx,right pepper shaker
bridge,widowx,put knife on cutting board cardboard fence
bridge,widowx,put carrot in pot cardboard fence
bridge,widowx,Put the fork between the pot and green towel.
bridge,widowx,move the purple cloth in between the two burners
bridge,widowx,closed the open drawer
bridge,widowx,put the ring on top of the cylinder
bridge,widowx,Pick the lemon from the pot and put into the table.
bridge,widowx,Place the metal pot on the blue cloth.
bridge,widowx,pour almonds in pot
bridge,widowx,put the red thing on the blue cloth
bridge,widowx,Close the drawer
bridge,widowx,Place the pot on the far edge of the table
bridge,widowx,upright metal pot cardboard fence
bridge,widowx,Unfold the cloth from top left to bottom right
bridge,widowx,move the green and yellow object from the pot to the bottom right stove
bridge,widowx,Move the spatula next to the leg piece
bridge,widowx,unfold the cloth from bottom left to top right
bridge,widowx,Place the silver pan on the purple cloth.
bridge,widowx,put pot or pan from sink into drying rack
bridge,widowx,move the silver pot to the right side of the table
bridge,widowx,none of the images loaded in this task
bridge,widowx,placed the box on its side position
bridge,widowx,take the long cylinder out of the circle and put it above the circle
bridge,widowx,put the block rectangular of the table
bridge,widowx,put detergent in sink
bridge,widowx,picks a spoon and places it at the centre of the  table
bridge,widowx,move the brown cube to the top of the white cylinder
bridge,widowx,Put the green item inside of the pot.
bridge,widowx,moved the ladle to the lower left burner of the stove
bridge,widowx,move the bread to the bottom left side of the burner
bridge,widowx,fold the blue cloth from top left to bottom right
bridge,widowx,tilt the red can
bridge,widowx,place the pot lid next to the cloth
bridge,widowx,take carrot off plate
bridge,widowx,unfold the cloth from top right to left
bridge,widowx,move the silver cup to the left side
bridge,widowx,moved the white basket on right side of the table
bridge,widowx,fold the cloth from right to left
bridge,widowx,Move the purple shape toward the left edge of table.
bridge,widowx,put sushi in pot cardboard fence
bridge,widowx,pick the orange cloth and put in the washing machine
bridge,widowx,put the yellow rectangular block on the blue arch
bridge,widowx,Move the towel to the front edge of the table
bridge,widowx,open small4fbox flaps
bridge,widowx,Move the blue cloth behind the silver pot near the stove.
bridge,widowx,put banana in pot or pan
bridge,widowx,robot unfolded cloth from bottom left to top right
bridge,widowx,move the cloth to the right of the table
bridge,widowx,moved the eggplant from the silver pot to the bottom right burner
bridge,widowx,Place the pot on top of the towel
bridge,widowx,The robot put the white thing inside a machine
bridge,widowx,PICK UP THE SPOON AND PUT ON THE ANOTHER SIDE OF THE TABLE
bridge,widowx,put the pasta server in the silver pot
bridge,widowx,put cup from counter to sink
bridge,widowx,put the silver pan on the upper left side of stove
bridge,widowx,Put the spoon on the blue cloth
bridge,widowx,uncloth on the left of the right
bridge,widowx,fold the cloth from the bottom  to top
bridge,widowx,put the red object inside the silver pot
bridge,widowx,opens the drawer
bridge,widowx,move the yellow knife to the bottom middle part of the stove
bridge,widowx,Place blue cloth to front of cans.
bridge,widowx,remove the fabric on the machine
bridge,widowx,remove the green spatula in dish drainer
bridge,widowx,unfold cloth from bottom right to top left
bridge,widowx,put the blue triangle on top of the yellow cube
bridge,widowx,fold from right top to left bottom
bridge,widowx,PICK UP THE ORANGE TOWEL AND PUT ANOTHER SIDE OF THE TABLE
bridge,widowx,Slide yellow towel to the bottom right corner of the counter.
bridge,widowx,Place the grapes in the pot.
bridge,widowx,move the yellow object to the lower left of the stove
bridge,widowx,put redcube in pan and put pan on stove
bridge,widowx,moved the green object closer to the drawer
bridge,widowx,move the pot in front of yellow cloth
bridge,widowx,put eggplant into pan
bridge,widowx,Place the spatula on the far edge of the table
bridge,widowx,move the thing to the lower left side of table
bridge,widowx,Move the fork and place it inside of pot.
bridge,widowx,move the yellow object in between the two burners to the left.
bridge,widowx,put apple on plate and crossaint in pot or pan on stove
bridge,widowx,Move stock pot to the top left edge
bridge,widowx,move red object in the bottom corner on the right of the burner
bridge,widowx,fold the coth from bottom left to top right
bridge,widowx,lift cloth from top
bridge,widowx,Place the yellow brush on the blue cloth.
bridge,widowx,move the metal pot to the bottom right side of the stove
bridge,widowx,put the laundry in the basket
bridge,widowx,Move the cupcake out of pan
bridge,widowx,move the silver lid to the lower left side of the table
bridge,widowx,move the sashimi from the left side of the stove to the right down corner
bridge,widowx,move the silver pot on top of the yellow cloth
bridge,widowx,moved the blue object inside the drawer
bridge,widowx,put cup into pot or pan
bridge,widowx,move the corn to the right
bridge,widowx,put the green block on top of the yellow block
bridge,widowx,"Pick up yellow cloth, move it back between stuffed animal and wok"
bridge,widowx,move the purple towel from the bottom of the table to the top left of the table
bridge,widowx,Pick up the white item and place it on orange towel
bridge,widowx,PICK UP  THE SPOON AND PUT ON THE YELLOW TOWEL
bridge,widowx,the robot arm did not complete the action
bridge,widowx,Put the corn into the pot.
bridge,widowx,picks the blue object from the drawer and puts it on the table
bridge,widowx,move the purple cloth to the top right of the table
bridge,widowx,removed the orange object from the drawer and put it on the lower side of the table
bridge,widowx,move the purple cloth to the middle upper part of the stove
bridge,widowx,its removes the white ball and put it on the table.
bridge,widowx,take bowl off plate cardboard fence
bridge,widowx,Move the bowl of water to the front left side of the table
bridge,widowx,plastic is picked up from the left of spoon and placed on the right side of the spoon
bridge,widowx,unfold the green cloth from bottom of the top left
bridge,widowx,Place the meat in the pot
bridge,widowx,Moved the yellow cloth on the lower right side of the stove.
bridge,widowx,Moved the purple cloth to the right side of the right burner.
bridge,widowx,Put the broccoli on the top part of the knife.
bridge,widowx,moved the silver pot from left burner to the right burner
bridge,widowx,pick green toy and place it on the left side to vessel on the top
bridge,widowx,put the green bell peper in left side burner.
bridge,widowx,put green squash in pot or pan
bridge,widowx,Move the black object from the purple cloth to behind the blue spoon
bridge,widowx,open the closed drawer
bridge,widowx,fold the cloth from the bottom to the top
bridge,widowx,moved the white thing to the right of red thing.
bridge,widowx,moved the blue fork to the left lower burner
bridge,widowx,opening drawer
bridge,widowx,Take the fork and place behind thecup.
bridge,widowx,put the green broccoli on the left edge of the cloth
bridge,widowx,unfold the cloth from bottom right to top left
bridge,widowx,move a red tumbler from bottom left to the top right
bridge,widowx,put corn in pot which is in sink
bridge,widowx,Put the brush on the cloth.
bridge,widowx,put the pot lid on the silver pot on the bottom right of the table
bridge,widowx,pick up the broccoli and put it inside the silver pot
bridge,widowx,push the yellow cloth to the left side burner
bridge,widowx,put cup from drying rack to sink
bridge,widowx,Moved the silver pot to the bottom left of the table
bridge,widowx,put the sushi on the right upper side of the table
bridge,widowx,move the can to the top left side of the stove
bridge,widowx,put out the spray from the pot to the top side of the burner
bridge,widowx,pick up the green object and place it on the bottom right side of the table
bridge,widowx,Place the spoon below the silver pot
bridge,widowx,put the red fork in the orange cloth
bridge,widowx,put pan on stove from sink
bridge,widowx,moved the yellow object in the right side of the table
bridge,widowx,Put the spoon on the right side of the food
bridge,widowx,unfold the fabric from the bottom left to the top
bridge,widowx,picked up the red object and moved it south east and put it down
bridge,widowx,pick up bit holder
bridge,widowx,moved the sushi to the top middle of the table
bridge,widowx,Place the silver pot on the yellow towel.
bridge,widowx,Put the brush on the top middle of the stove.
bridge,widowx,Pick the blue cloth and put in the corner from middle
bridge,widowx,OPEN A SMALL BOX
bridge,widowx,put the blue thing in the silver pan
bridge,widowx,Move the orange towel to the right bottom corner of the burner
bridge,widowx,moved the spatula on top of the orange towel
bridge,widowx,take the blue scoop out of the stove and put it on the right side of the stove
bridge,widowx,take clothes out of laundry machine
bridge,widowx,take the mushroom and place it on the top of the drawer
bridge,widowx,put ball with hole into cup
bridge,widowx,Take the corn out of the pot and put it to the left of the scrubber.
bridge,widowx,Move the banana to the left side of the bottle.
bridge,widowx,Place the strawberry inside the pot
bridge,widowx,put the tin into the burner
bridge,widowx,put pot in sink
bridge,widowx,move the yellow cube to the top of the cylinder
bridge,widowx,put the banana inside the silver pot
bridge,widowx,takes the cheese and places it on top of the drawer
bridge,widowx,moving an object from a pan
bridge,widowx,Place the yellow cloth on the far edge of the table
bridge,widowx,moved the blue object to the left lower side of the table
bridge,widowx,move the blue spoon to the left below the orange cloth
bridge,widowx,close drawer of box
bridge,widowx,fold the cloth from bottom right to top left
bridge,widowx,Move the blue fork to the right of the broccoli
bridge,widowx,put potato in pot cardboard fence
bridge,widowx,put the thing on the left bottom side of the yellow object
bridge,widowx,move the cloth to the bottom right edge of the table
bridge,widowx,put the lid on top of the silver pot
bridge,widowx,Place the metal pot on top of the blue cloth.
bridge,widowx,Move the mushroom to the right of the pot.
bridge,widowx,put the blue  object in the orange pot
bridge,widowx,wipe pot with sponge
bridge,widowx,move the cloth from top left to bottom right
bridge,widowx,put cucumber in cup
bridge,widowx,move the blue objet to the left side of burner
bridge,widowx,move the white object to the left of the table
bridge,widowx,move the ball to the top right side of the table
bridge,widowx,Place the pot to the right of the purple towel
bridge,widowx,Place the green spatula in front of the microwave.
bridge,widowx,Take the knife and place it on the left side of the silver vessel.
bridge,widowx,move the stuffed toy in the lower edge side of the table
bridge,widowx,move the green spoon the top left side of the table
bridge,widowx,take the white object out of the drawer and put it on the table
bridge,widowx,Move the blue spatula in the upper middle of the table
bridge,widowx,fold the cloth from right to center
bridge,widowx,put knife on cutting board
bridge,widowx,Move the purple cloth next to the blue brush
bridge,widowx,moved the yellow knife between the two burners
bridge,widowx,moved the orange pot to the middle lower burner side
bridge,widowx,move a yellow cloth next to the bucket
bridge,widowx,move the broccoli from the yellow cloth to the upper right corner of the stove
bridge,widowx,pick up the lid in the middle of the stove and close the  top cauldron on the bottom right burner
bridge,widowx,fold the cloth from bottom left to the center
bridge,widowx,Pick up the carrot and place it on the orange cloth
bridge,widowx,move the green cube and put it into yellow cube
bridge,widowx,Place the red spoon to the left of the pot
bridge,widowx,put the yellow thing in the drawer
bridge,widowx,put fry on plate and smallpear in pot or pan on stove
bridge,widowx,put corn on plate
bridge,widowx,pull vessel from bottom top to bottom
bridge,widowx,unfold the fabric from top to bottom
bridge,widowx,close cabinet
bridge,widowx,move yellow object to the bottom of the table
bridge,widowx,(These pictures aren't working)
bridge,widowx,put the cube with a hole onto the left side of the table.
bridge,widowx,move the blue spoon to the bottom right of the table
bridge,widowx,take the carrot and put it it between the two left burners
bridge,widowx,Place the bun in the back left.
bridge,widowx,put the thing in the pot
bridge,widowx,remove the ball from the cup
bridge,widowx,mover el objeto azul al margen derecho del calentador
bridge,widowx,unfold the cloth from the bottom to the top
bridge,widowx,Move the croissant to the lower right corner in front of spoon
bridge,widowx,take sushi out of pot cardboard fence
bridge,widowx,take corn out of bowl sink
bridge,widowx,pick rectangle block from the table and place it on top of another block
bridge,widowx,fold the cloth from the top to the bottom
bridge,widowx,take beet from pot sink
bridge,widowx,put the knife on the right bottom corner of the stove
bridge,widowx,Closed the drawer
bridge,widowx,placed the green cube to the top of the yellow cube
bridge,widowx,Move the pot towards the top of the counter.
bridge,widowx,fold the cloth from top right to the left
bridge,widowx,fold cloth from right to left.
bridge,widowx,unfold the cloth top right to bottom left
bridge,widowx,move the towel to the lower right side of the table
bridge,widowx,relocate the green object to the upper right side of the drawer
bridge,widowx,moved the blue fork to the green towel
bridge,widowx,Move the pan straight down to the edge of the table
bridge,widowx,unfold the cloth from right to left.
bridge,widowx,Place the yellow object at the top edge
bridge,widowx,move the wooden block to the top of the yellow block
bridge,widowx,put the silver pan on the top left of the stove
bridge,widowx,Move the silver pan underneath the chicken leg.
bridge,widowx,Place the green towel on the front edge of the table.
bridge,widowx,Pick up the blue spoon and place it on the right of the orange cloth
bridge,widowx,pick up any cup
bridge,widowx,Place the spoon beside the metal pot.
bridge,widowx,topple hot sauce bottle cardboard fence
bridge,widowx,Pick up the blue fork from pot and put it on the table
bridge,widowx,put the lid on top of the silver dish
bridge,widowx,move the spoon to the right back of the table
bridge,widowx,Pick up the egg from the cloth and place it near the steel pan.
bridge,widowx,put the grey cube on top of the rectangular block
bridge,widowx,Move the sushi on the top left of the table.
bridge,widowx,pick the ring on top of the cylinder.
bridge,widowx,move the half eggplant to the upper right side of the burner.
bridge,widowx,move the spatula over the pan
bridge,widowx,move the cylindrical block with a hole in the middle and put it on top of the green rectangular block
bridge,widowx,moved the metal can to the bottom left of the table
bridge,widowx,Put the green pepper into the silver pan.
bridge,widowx,put sweet potato in pot
bridge,widowx,Move the mushroom between the towel and the cans
bridge,widowx,Move the violet towel to the upper right corner of the table
bridge,widowx,move the chicken wing to the left edge of the cooker
bridge,widowx,take the eggplant and put it between the two right burners
bridge,widowx,take the red object and put it to the upper right of the burner
bridge,widowx,moved the silver pot to the left bottom corner of the stove
bridge,widowx,put the arch on top of the green arch
bridge,widowx,moved the purple cloth from bottom left to bottom right of the table
bridge,widowx,Put the teddy bear in the drawer
bridge,widowx,move the thing to the left side of the drawer
bridge,widowx,removed the yellow cube from the tower and moved it to the right
bridge,widowx,move the green cloth to the second burner
bridge,widowx,put cup on plate
bridge,widowx,Move the yellow and green object to the right of the spoon.
bridge,widowx,move the blue spatula to the right side of the silver pot
bridge,widowx,upright basil bottle cardboard fence
bridge,widowx,take blueberries off plate sink
bridge,widowx,move an orange object to the top right of the table
bridge,widowx,put eggplant in pot or pan
bridge,widowx,put the white cube in the middle of a table
bridge,widowx,put the red thing in the pot
bridge,widowx,déplacer l objet argenté à coter droite du bruleur
bridge,widowx,slowly remove the blue cloth
bridge,widowx,Put the pot on the towel.
bridge,widowx,move the cloth from the bottom to the top
bridge,widowx,Move the can in front of the red spoon
bridge,widowx,put pepper in pan
bridge,widowx,put pot or pan in sink
bridge,widowx,moved the fruit out of the silver pot into a bucket
bridge,widowx,fold the cloth from the right to the left side
bridge,widowx,Put the blue colour spatula on the left side of the vessel.
bridge,widowx,Move the green cloth next to the brush
bridge,widowx,unfold the cloth fron right to left
bridge,widowx,move silver pot from bottom of the table and place it on the left corner of the table
bridge,widowx,pick the toy from one part of the table to corner of the table.
bridge,widowx,Put the potato under the pot.
